CODIGO_CATEGORIA|NOMBRE_CATEGORIA|CODIGO_AGRUPACION|NOMBRE_AGRUPACION|CODIGO_LISTA|NOMBRE_LISTA
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-701|NUEVA SANTA CRUZ|001120007000019.20-701.B.001120007000019.20-701|CON VOS
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-701|NUEVA SANTA CRUZ|001120007000019.20-701.G.001120007000019.20-701|GALLEGOS MERECE ESTAR MEJOR
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-701|NUEVA SANTA CRUZ|001120007000019.20-701.J.001120007000019.20-701|JUNTO CON VOS
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-701|NUEVA SANTA CRUZ|001120007000019.20-701.K.001120007000019.20-701|RIO GALLEGOS POR EL CAMBIO
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-701|NUEVA SANTA CRUZ|001120007000019.20-701.D.001120007000019.20-701|CUENTO CON VOS
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-701|NUEVA SANTA CRUZ|001120007000019.20-701.O.001120007000019.20-701|TIEMPO DE CRECER
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-701|NUEVA SANTA CRUZ|001120007000019.20-701.A.001120007000019.20-701|COALICIÓN POR RIO GALLEGOS
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-701|NUEVA SANTA CRUZ|001120007000019.20-701.F.001120007000019.20-701|ENCUENTRO CIUDADANO
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-701|NUEVA SANTA CRUZ|001120007000019.20-701.I.001120007000019.20-701|HACEMOS FALTA
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-701|NUEVA SANTA CRUZ|001120007000019.20-701.E.001120007000019.20-701|DEFENSORES DEL CAMBIO RIO GALLEGOS
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-701|NUEVA SANTA CRUZ|001120007000019.20-701.L.001120007000019.20-701|SOCIALISMO SANTACRUCEÑO
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-701|NUEVA SANTA CRUZ|001120007000019.20-701.P.001120007000019.20-701|TODOS UNIDOS POR RIO GALLEGOS
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-701|NUEVA SANTA CRUZ|001120007000019.20-701.H.001120007000019.20-701|GENERACIÓN Y FUTURO
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-701|NUEVA SANTA CRUZ|001120007000019.20-701.M.001120007000019.20-701|SOL PARA TODOS
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-702|FRENTE DE TODOS|001120007000019.20-702.D.001120007000019.20-702|ENERGÍA PARA EL FUTURO DE SANTA CRUZ
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-702|FRENTE DE TODOS|001120007000019.20-702.F.001120007000019.20-702|ESPERANZA RIO GALLEGOS
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-702|FRENTE DE TODOS|001120007000019.20-702.E.001120007000019.20-702|ENTRE TODOS RIO GALLEGOS
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-702|FRENTE DE TODOS|001120007000019.20-702.C.001120007000019.20-702|EN MARCHA SANTA CRUZ
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-702|FRENTE DE TODOS|001120007000019.20-702.J.001120007000019.20-702|SIEMPRE A FAVOR DE LA VIDA
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-702|FRENTE DE TODOS|001120007000019.20-702.G.001120007000019.20-702|LA FUERZA DEL FUTURO
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-702|FRENTE DE TODOS|001120007000019.20-702.H.001120007000019.20-702|PATRIA LIBRE
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-702|FRENTE DE TODOS|001120007000019.20-702.B.001120007000019.20-702|CONSTRUYAMOS JUNTOS
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-702|FRENTE DE TODOS|001120007000019.20-702.A.001120007000019.20-702|CUIDAD CORDIAL
001120007000019|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Gallegos|20-702|FRENTE DE TODOS|001120007000019.20-702.I.001120007000019.20-702|RIO GALLEGOS NOS UNE
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-703|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001120007000020.20-703.A.001120007000020.20-703|FRENTE DE IZQUIERDA Y DE TRABAJADORES
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-710|SANTA CRUZ SOMOS TODOS|001120007000020.20-710.A.001120007000020.20-710|POR UN PUEBLOCON DERECHOS
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-701|NUEVA SANTA CRUZ|001120007000020.20-701.C.001120007000020.20-701|CONSENSO RIO GALLEGOS
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-701|NUEVA SANTA CRUZ|001120007000020.20-701.K.001120007000020.20-701|RIO GALLEGOS POR EL CAMBIO
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-701|NUEVA SANTA CRUZ|001120007000020.20-701.E.001120007000020.20-701|DEFENSORES DEL CAMBIO RIO GALLEGOS
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-701|NUEVA SANTA CRUZ|001120007000020.20-701.J.001120007000020.20-701|JUNTO CON VOS
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-701|NUEVA SANTA CRUZ|001120007000020.20-701.O.001120007000020.20-701|TIEMPO DE CRECER
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-701|NUEVA SANTA CRUZ|001120007000020.20-701.G.001120007000020.20-701|GALLEGOS MERECE ESTAR MEJOR
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-701|NUEVA SANTA CRUZ|001120007000020.20-701.N.001120007000020.20-701|SUMA PARA TODOS
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-701|NUEVA SANTA CRUZ|001120007000020.20-701.H.001120007000020.20-701|GENERACIÓN Y FUTURO
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-701|NUEVA SANTA CRUZ|001120007000020.20-701.A.001120007000020.20-701|COALICIÓN POR RIO GALLEGOS
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-701|NUEVA SANTA CRUZ|001120007000020.20-701.B.001120007000020.20-701|CON VOS
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-701|NUEVA SANTA CRUZ|001120007000020.20-701.F.001120007000020.20-701|ENCUENTRO CIUDADANO
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-701|NUEVA SANTA CRUZ|001120007000020.20-701.I.001120007000020.20-701|HACEMOS FALTA
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-701|NUEVA SANTA CRUZ|001120007000020.20-701.L.001120007000020.20-701|SOCIALISMO SANTACRUCEÑO
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-701|NUEVA SANTA CRUZ|001120007000020.20-701.D.001120007000020.20-701|CUENTO CON VOS
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-701|NUEVA SANTA CRUZ|001120007000020.20-701.M.001120007000020.20-701|SOL PARA TODOS
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-701|NUEVA SANTA CRUZ|001120007000020.20-701.P.001120007000020.20-701|TODOS UNIDOS POR RIO GALLEGOS
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-702|FRENTE DE TODOS|001120007000020.20-702.C.001120007000020.20-702|EN MARCHA SANTA CRUZ
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-702|FRENTE DE TODOS|001120007000020.20-702.A.001120007000020.20-702|CUIDAD CORDIAL
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-702|FRENTE DE TODOS|001120007000020.20-702.G.001120007000020.20-702|LA FUERZA DEL FUTURO
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-702|FRENTE DE TODOS|001120007000020.20-702.I.001120007000020.20-702|RIO GALLEGOS NOS UNE
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-702|FRENTE DE TODOS|001120007000020.20-702.E.001120007000020.20-702|ENTRE TODOS RIO GALLEGOS
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-702|FRENTE DE TODOS|001120007000020.20-702.F.001120007000020.20-702|ESPERANZA RIO GALLEGOS
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-702|FRENTE DE TODOS|001120007000020.20-702.B.001120007000020.20-702|CONSTRUYAMOS JUNTOS
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-702|FRENTE DE TODOS|001120007000020.20-702.D.001120007000020.20-702|ENERGÍA PARA EL FUTURO DE SANTA CRUZ
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-702|FRENTE DE TODOS|001120007000020.20-702.J.001120007000020.20-702|SIEMPRE A FAVOR DE LA VIDA
001120007000020|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito La Esperanza|20-702|FRENTE DE TODOS|001120007000020.20-702.H.001120007000020.20-702|PATRIA LIBRE
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-703|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001120007000021.20-703.A.001120007000021.20-703|FRENTE DE IZQUIERDA Y DE TRABAJADORES
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-710|SANTA CRUZ SOMOS TODOS|001120007000021.20-710.B.001120007000021.20-710|TODOS POR LA CUENTA
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-710|SANTA CRUZ SOMOS TODOS|001120007000021.20-710.A.001120007000021.20-710|RIO TURBIO SOMOS TODOS
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-701|NUEVA SANTA CRUZ|001120007000021.20-701.F.001120007000021.20-701|JUNTOS POR RIO TURBIO
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-701|NUEVA SANTA CRUZ|001120007000021.20-701.E.001120007000021.20-701|HAY ESPERANZA
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-701|NUEVA SANTA CRUZ|001120007000021.20-701.B.001120007000021.20-701|CON VOS
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-701|NUEVA SANTA CRUZ|001120007000021.20-701.A.001120007000021.20-701|COALICIÓN POR RIO TURBIO
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-701|NUEVA SANTA CRUZ|001120007000021.20-701.G.001120007000021.20-701|NUEVO RIO TURBIO
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-701|NUEVA SANTA CRUZ|001120007000021.20-701.C.001120007000021.20-701|CONSENSO RIO TURBIO
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-701|NUEVA SANTA CRUZ|001120007000021.20-701.D.001120007000021.20-701|HACEMOS FALTA
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-701|NUEVA SANTA CRUZ|001120007000021.20-701.H.001120007000021.20-701|SOL PARA TODOS
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-702|FRENTE DE TODOS|001120007000021.20-702.C.001120007000021.20-702|ESPERANZA RIOTURBIENSE
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-702|FRENTE DE TODOS|001120007000021.20-702.H.001120007000021.20-702|SER SANTA CRUZ
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-702|FRENTE DE TODOS|001120007000021.20-702.A.001120007000021.20-702|ENCUENTRO GENERACIONAL
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-702|FRENTE DE TODOS|001120007000021.20-702.D.001120007000021.20-702|FRENTE DE UNIDAD
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-702|FRENTE DE TODOS|001120007000021.20-702.E.001120007000021.20-702|LA CIUDAD QUE MERECEMOS 
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-702|FRENTE DE TODOS|001120007000021.20-702.F.001120007000021.20-702|POR UNA NUEVA ESPERANZA
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-702|FRENTE DE TODOS|001120007000021.20-702.G.001120007000021.20-702|PRIMERO SANTA CRUZ
001120007000021|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito Río Turbio|20-702|FRENTE DE TODOS|001120007000021.20-702.B.001120007000021.20-702|ENTRE TODOS RIO TURBIO
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-703|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|00112000700021A.20-703.A.00112000700021A.20-703|FRENTE DE IZQUIERDA Y DE TRABAJADORES
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-710|SANTA CRUZ SOMOS TODOS|00112000700021A.20-710.A.00112000700021A.20-710|RIO TURBIO SOMOS TODOS
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-710|SANTA CRUZ SOMOS TODOS|00112000700021A.20-710.B.00112000700021A.20-710|TODOS POR LA CUENTA
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-701|NUEVA SANTA CRUZ|00112000700021A.20-701.E.00112000700021A.20-701|HAY ESPERANZA
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-701|NUEVA SANTA CRUZ|00112000700021A.20-701.H.00112000700021A.20-701|SOL PARA TODOS
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-701|NUEVA SANTA CRUZ|00112000700021A.20-701.A.00112000700021A.20-701|COALICIÓN POR RIO TURBIO
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-701|NUEVA SANTA CRUZ|00112000700021A.20-701.C.00112000700021A.20-701|CONSENSO RIO TURBIO
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-701|NUEVA SANTA CRUZ|00112000700021A.20-701.D.00112000700021A.20-701|HACEMOS FALTA
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-701|NUEVA SANTA CRUZ|00112000700021A.20-701.F.00112000700021A.20-701|JUNTOS POR RIO TURBIO
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-701|NUEVA SANTA CRUZ|00112000700021A.20-701.G.00112000700021A.20-701|NUEVO RIO TURBIO
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-701|NUEVA SANTA CRUZ|00112000700021A.20-701.B.00112000700021A.20-701|CON VOS
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-702|FRENTE DE TODOS|00112000700021A.20-702.H.00112000700021A.20-702|SER SANTA CRUZ
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-702|FRENTE DE TODOS|00112000700021A.20-702.F.00112000700021A.20-702|POR UNA NUEVA ESPERANZA
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-702|FRENTE DE TODOS|00112000700021A.20-702.G.00112000700021A.20-702|PRIMERO SANTA CRUZ
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-702|FRENTE DE TODOS|00112000700021A.20-702.A.00112000700021A.20-702|ENCUENTRO GENERACIONAL
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-702|FRENTE DE TODOS|00112000700021A.20-702.B.00112000700021A.20-702|ENTRE TODOS RIO TURBIO
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-702|FRENTE DE TODOS|00112000700021A.20-702.C.00112000700021A.20-702|ESPERANZA RIOTURBIENSE
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-702|FRENTE DE TODOS|00112000700021A.20-702.D.00112000700021A.20-702|FRENTE DE UNIDAD
00112000700021A|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito EA. Río Turbio|20-702|FRENTE DE TODOS|00112000700021A.20-702.E.00112000700021A.20-702|LA CIUDAD QUE MERECEMOS 
00112000700021B|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito 28 de Noviembre|20-703|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|00112000700021B.20-703.A.00112000700021B.20-703|FRENTE DE IZQUIERDA Y DE TRABAJADORES
00112000700021B|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito 28 de Noviembre|20-710|SANTA CRUZ SOMOS TODOS|00112000700021B.20-710.A.00112000700021B.20-710|PROSPERIDA, PRESENTE FUTURO
00112000700021B|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito 28 de Noviembre|20-701|NUEVA SANTA CRUZ|00112000700021B.20-701.A.00112000700021B.20-701|28 PARA TODOS
00112000700021B|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito 28 de Noviembre|20-701|NUEVA SANTA CRUZ|00112000700021B.20-701.F.00112000700021B.20-701|SUMA TU VOZ
00112000700021B|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito 28 de Noviembre|20-701|NUEVA SANTA CRUZ|00112000700021B.20-701.B.00112000700021B.20-701|28 QUERE ESTAR MEJOR
00112000700021B|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito 28 de Noviembre|20-701|NUEVA SANTA CRUZ|00112000700021B.20-701.D.00112000700021B.20-701|SOCIALISMO SANTACRUCEÑO
00112000700021B|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito 28 de Noviembre|20-701|NUEVA SANTA CRUZ|00112000700021B.20-701.C.00112000700021B.20-701|ALTERNATIVA PARA 28
00112000700021B|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito 28 de Noviembre|20-701|NUEVA SANTA CRUZ|00112000700021B.20-701.E.00112000700021B.20-701|SOL PARA TODOS
00112000700021B|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito 28 de Noviembre|20-702|FRENTE DE TODOS|00112000700021B.20-702.D.00112000700021B.20-702|SER SANTA CRUZ
00112000700021B|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito 28 de Noviembre|20-702|FRENTE DE TODOS|00112000700021B.20-702.C.00112000700021B.20-702|SENTIMIENTO PERONISTA
00112000700021B|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito 28 de Noviembre|20-702|FRENTE DE TODOS|00112000700021B.20-702.B.00112000700021B.20-702|MILITANCIA PERONISTA
00112000700021B|Diputado Municipal Santa Cruz - Sección Güer Aike - Circuito 28 de Noviembre|20-702|FRENTE DE TODOS|00112000700021B.20-702.A.00112000700021B.20-702|28 AVANZA
001120001000001|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Puerto Deseado|20-703|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001120001000001.20-703.A.001120001000001.20-703|FRENTE DE IZQUIERDA Y DE TRABAJADORES
001120001000001|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Puerto Deseado|20-710|SANTA CRUZ SOMOS TODOS|001120001000001.20-710.A.001120001000001.20-710|VAMOS DESEADO
001120001000001|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Puerto Deseado|20-701|NUEVA SANTA CRUZ|001120001000001.20-701.E.001120001000001.20-701|MOVERE SANTA CRUZ
001120001000001|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Puerto Deseado|20-701|NUEVA SANTA CRUZ|001120001000001.20-701.A.001120001000001.20-701|ALTERNATIVA FEDERAL PUERTO DESEADO
001120001000001|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Puerto Deseado|20-701|NUEVA SANTA CRUZ|001120001000001.20-701.C.001120001000001.20-701|DEFENSORES DEL CAMBIO PUERTO DESEADO
001120001000001|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Puerto Deseado|20-701|NUEVA SANTA CRUZ|001120001000001.20-701.D.001120001000001.20-701|JUNTOS PODEMOS
001120001000001|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Puerto Deseado|20-701|NUEVA SANTA CRUZ|001120001000001.20-701.F.001120001000001.20-701|UN NUEVO DESEO AVANZA
001120001000001|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Puerto Deseado|20-701|NUEVA SANTA CRUZ|001120001000001.20-701.B.001120001000001.20-701|CONSENSO PUERTO DESEADO
001120001000001|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Puerto Deseado|20-702|FRENTE DE TODOS|001120001000001.20-702.A.001120001000001.20-702|FRENTE DE LA ESPERANZA
001120001000001|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Puerto Deseado|20-702|FRENTE DE TODOS|001120001000001.20-702.C.001120001000001.20-702|PARTIDO DE LA VICTORIA
001120001000001|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Puerto Deseado|20-702|FRENTE DE TODOS|001120001000001.20-702.E.001120001000001.20-702|SER SANTA CRUZ
001120001000001|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Puerto Deseado|20-702|FRENTE DE TODOS|001120001000001.20-702.B.001120001000001.20-702|NACE UNA ESPERANZA DESEADENSE
001120001000001|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Puerto Deseado|20-702|FRENTE DE TODOS|001120001000001.20-702.D.001120001000001.20-702|PRIMERO SANTA CRUZ
001120001000002|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Jaramillo|20-703|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001120001000002.20-703.A.001120001000002.20-703|FRENTE DE IZQUIERDA Y DE TRABAJADORES
001120001000002|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Jaramillo|20-710|SANTA CRUZ SOMOS TODOS|001120001000002.20-710.D.001120001000002.20-710|UNIDOS POR TRUNCADO
001120001000002|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Jaramillo|20-710|SANTA CRUZ SOMOS TODOS|001120001000002.20-710.A.001120001000002.20-710|LA FEDERAL
001120001000002|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Jaramillo|20-710|SANTA CRUZ SOMOS TODOS|001120001000002.20-710.C.001120001000002.20-710|TRUNCADO PROYECTA
001120001000002|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Jaramillo|20-710|SANTA CRUZ SOMOS TODOS|001120001000002.20-710.B.001120001000002.20-710|TRABAJADORES TRUNCADENSES
001120001000002|Diputado Municipal Santa Cruz - Sección Deseado - Circuito Jaramillo|20-701|NUEVA SANTA CRUZ|001120001000002.20-701.E.001120001000002.20-701|HONESTIDAD Y GESTION TRUNCADENSE
